"Dev fold";" Tune set";" Parameters";" Tune loss";"Precise_loss"
2;44;" {'lr': 0.0007171428571428572, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.01, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}";0,0107;"0.010735728336792243"
2;45;" {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.0, 'mask_prob': 0.42999999999999994, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 512}";0,0003;"0.000342689865072699"
2;46;" {'lr': 0.0003635714285714286, 'num_layers': 8, 'dropout': 0.3214285714285714, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}";0,0009;"0.0009276833581297021"
2;47;" {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 256}";0,0003;"0.0002513566111079662"
2;48;" {'lr': 0.0005757142857142857, 'num_layers': 4, 'dropout': 0.5, 'mask_prob': 0.185, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 128}";0,0001;"9.288678733068274e-05"
2;49;" {'lr': 1e-05, 'num_layers': 4, 'dropout': 0.17857142857142855, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}";0,0009;"0.0008707601135890735"
2;50;" {'lr': 0.001, 'num_layers': 1, 'dropout': 0.14285714285714285, 'mask_prob': 0.25499999999999995, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}";0;"4.238381370669231e-05"
2;51;" {'lr': 0.0004342857142857143, 'num_layers': 4, 'dropout': 0.39285714285714285, 'mask_prob': 0.5, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 64}";0,0038;"0.003798531659413129"
2;52;" {'lr': 0.000505, 'num_layers': 2, 'dropout': 0.3214285714285714, 'mask_prob': 0.29, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}";0,0001;"0.00014219477567454115"
2;53;" {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.0, 'mask_prob': 0.42999999999999994, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 1024}";0,9449;"0.944906589231993"
2;54;" {'lr': 8.071428571428574e-05, 'num_layers': 1, 'dropout': 0.46428571428571425, 'mask_prob': 0.15, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 2048}";0,0037;"0.003656788030639291"
2;55;" {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.21428571428571427, 'mask_prob': 0.11499999999999998, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 128}";0,0006;"0.000621279626533291"
2;56;" {'lr': 8.071428571428574e-05, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.25499999999999995, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}";0,0004;"0.000411491839546024"
2;57;" {'lr': 1e-05, 'num_layers': 2, 'dropout': 0.10714285714285714, 'mask_prob': 0.42999999999999994, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 1024}";0,0002;"0.0002363264625034246"
2;58;" {'lr': 0.0007878571428571429, 'num_layers': 8, 'dropout': 0.21428571428571427, 'mask_prob': 0.36, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 64}";0,0001;"0.00011842347578893073"
2;59;" {'lr': 0.0002928571428571429, 'num_layers': 2, 'dropout': 0.3214285714285714, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 1024}";0,0002;"0.0001766675762299105"
2;60;" {'lr': 0.0002928571428571429, 'num_layers': 2, 'dropout': 0.3571428571428571, 'mask_prob': 0.185, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}";0;"4.8484174744532394e-05"
2;61;" {'lr': 0.000505, 'num_layers': 4, 'dropout': 0.39285714285714285, 'mask_prob': 0.185, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 32}";0,0001;"7.228140671749746e-05"
2;62;" {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.10714285714285714, 'mask_prob': 0.36, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}";0,0063;"0.006278627601109053"
2;63;" {'lr': 0.00015142857142857145, 'num_layers': 2, 'dropout': 0.39285714285714285, 'mask_prob': 0.5, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}";0,0086;"0.008595018102297266"
2;64;" {'lr': 0.001, 'num_layers': 8, 'dropout': 0.3214285714285714, 'mask_prob': 0.11499999999999998, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}";0,001;"0.0010403412529022286"
2;65;" {'lr': 0.00022214285714285717, 'num_layers': 2, 'dropout': 0.2857142857142857, 'mask_prob': 0.32499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}";0,0054;"0.00540227087606725"
2;66;" {'lr': 0.0004342857142857143, 'num_layers': 2, 'dropout': 0.5, 'mask_prob': 0.11499999999999998, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}";0,0001;"7.92541301818442e-05"
2;67;" {'lr': 0.0005757142857142857, 'num_layers': 1, 'dropout': 0.42857142857142855, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 512}";0,0088;"0.008804721731729316"
2;68;" {'lr': 0.00015142857142857145, 'num_layers': 4, 'dropout': 0.46428571428571425, 'mask_prob': 0.07999999999999999, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}";0,0056;"0.005560209558002259"
2;69;" {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.29, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}";0,0003;"0.0002599283608632456"
2;70;" {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.07142857142857142, 'mask_prob': 0.36, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 28}";0,0064;"0.006415806456444491"
2;71;" {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.25, 'mask_prob': 0.07999999999999999, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 128}";0,0001;"0.00012078730230170645"
2;72;" {'lr': 0.0005757142857142857, 'num_layers': 4, 'dropout': 0.3571428571428571, 'mask_prob': 0.25499999999999995, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 32}";0,0001;"0.00011323800457543449"
2;73;" {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.2857142857142857, 'mask_prob': 0.29, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 32}";0,0014;"0.0013744297412861335"
2;74;" {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.0, 'mask_prob': 0.07999999999999999, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}";0,0003;"0.0003071797140077443"
2;75;" {'lr': 8.071428571428574e-05, 'num_layers': 2, 'dropout': 0.03571428571428571, 'mask_prob': 0.185, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 4096}";0,0007;"0.000664834786316772"
2;76;" {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.07142857142857142, 'mask_prob': 0.42999999999999994, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}";0,0042;"0.004240004004379061"
2;77;" {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.5, 'mask_prob': 0.32499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}";0,0048;"0.004801382852938811"
2;78;" {'lr': 0.0008585714285714286, 'num_layers': 4, 'dropout': 0.25, 'mask_prob': 0.39499999999999996, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}";0,0052;"0.005190612023733066"
2;79;" {'lr': 0.0003635714285714286, 'num_layers': 8, 'dropout': 0.21428571428571427, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}";0,0166;"0.016566789022793894"
2;80;" {'lr': 0.0007171428571428572, 'num_layers': 8, 'dropout': 0.14285714285714285, 'mask_prob': 0.01, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}";0,0002;"0.0002026078053811369"
2;81;" {'lr': 0.0003635714285714286, 'num_layers': 4, 'dropout': 0.25, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 56}";0,0099;"0.009864924965720428"
2;82;" {'lr': 8.071428571428574e-05, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.42999999999999994, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 14}";0,01;"0.010041010314843765"
2;83;" {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.42857142857142855, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 28}";0,0084;"0.008439446140791437"
2;84;" {'lr': 0.00015142857142857145, 'num_layers': 8, 'dropout': 0.14285714285714285, 'mask_prob': 0.07999999999999999, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}";0,0005;"0.0005037802161256734"
2;85;" {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.39285714285714285, 'mask_prob': 0.5, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 256}";0,061;"0.06096548822365309"
2;86;" {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.10714285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 4096}";0,1355;"0.13552114014562808"
2;87;" {'lr': 0.0009292857142857143, 'num_layers': 4, 'dropout': 0.14285714285714285, 'mask_prob': 0.29, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 56}";0,0061;"0.006095269676542988"
2;88;" {'lr': 0.0007878571428571429, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.42999999999999994, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}";0,0088;"0.008831588523830041"
2;89;" {'lr': 0.0005757142857142857, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.39499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}";0,0092;"0.009162273668487998"
2;90;" {'lr': 0.000505, 'num_layers': 1, 'dropout': 0.14285714285714285, 'mask_prob': 0.5, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}";0,011;"0.011042599027094088"
2;91;" {'lr': 0.0004342857142857143, 'num_layers': 2, 'dropout': 0.17857142857142855, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 512}";0,0005;"0.00047146602637918765"
2;92;" {'lr': 0.000505, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.11499999999999998, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 256}";0,0003;"0.000262163967004438"
2;93;" {'lr': 0.00015142857142857145, 'num_layers': 1, 'dropout': 0.3571428571428571, 'mask_prob': 0.01, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 64}";0,001;"0.0009960549558806968"
2;94;" {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.25, 'mask_prob': 0.42999999999999994, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}";0,0043;"0.00427677971119441"
2;95;" {'lr': 0.001, 'num_layers': 4, 'dropout': 0.14285714285714285, 'mask_prob': 0.045, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}";0,005;"0.005013186916537387"
2;96;" {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}";0,0173;"0.017319990527252423"
2;97;" {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.36, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}";0,8834;"0.8833681313615096"
2;98;" {'lr': 0.0003635714285714286, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 1024}";0;"4.871763877944384e-05"
2;99;" {'lr': 1e-05, 'num_layers': 4, 'dropout': 0.2857142857142857, 'mask_prob': 0.25499999999999995, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 112}";0,0385;"0.038487998278517475"
2;100;" {'lr': 0.00022214285714285717, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.185, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 64}";0,0078;"0.007753189146138826"
2;101;" {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.3571428571428571, 'mask_prob': 0.25499999999999995, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}";1,0538;"1.0537801416296708"
2;102;" {'lr': 0.0004342857142857143, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.5, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}";0,0033;"0.003277828850083384"
2;103;" {'lr': 0.0007171428571428572, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.07999999999999999, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 512, 'inner_dim': 512}";0,0844;"0.08436894848158485"
