Dev fold; Tune set; Parameters; Tune loss
2; 239; {'lr': 0.00015142857142857145, 'num_layers': 8, 'dropout': 0.3214285714285714, 'mask_prob': 0.21999999999999997, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0001
2; 240; {'lr': 0.0004342857142857143, 'num_layers': 2, 'dropout': 0.0, 'mask_prob': 0.42999999999999994, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}; 0.0040
2; 241; {'lr': 0.0003635714285714286, 'num_layers': 2, 'dropout': 0.3571428571428571, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0088
2; 242; {'lr': 0.0004342857142857143, 'num_layers': 1, 'dropout': 0.46428571428571425, 'mask_prob': 0.01, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}; 0.0005
2; 243; {'lr': 0.0008585714285714286, 'num_layers': 4, 'dropout': 0.39285714285714285, 'mask_prob': 0.25499999999999995, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.9603
2; 244; {'lr': 0.001, 'num_layers': 2, 'dropout': 0.17857142857142855, 'mask_prob': 0.15, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}; 0.9697
2; 245; {'lr': 1e-05, 'num_layers': 1, 'dropout': 0.17857142857142855, 'mask_prob': 0.25499999999999995, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 112}; 0.0171
2; 246; {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.03571428571428571, 'mask_prob': 0.07999999999999999, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}; 0.0015
2; 247; {'lr': 0.0006464285714285715, 'num_layers': 4, 'dropout': 0.5, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0002
2; 248; {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.39285714285714285, 'mask_prob': 0.01, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 112}; 0.0550
2; 249; {'lr': 0.0007878571428571429, 'num_layers': 4, 'dropout': 0.17857142857142855, 'mask_prob': 0.42999999999999994, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0089
2; 250; {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.5, 'mask_prob': 0.32499999999999996, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0003
2; 251; {'lr': 0.0002928571428571429, 'num_layers': 4, 'dropout': 0.21428571428571427, 'mask_prob': 0.5, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0032
2; 252; {'lr': 0.0007171428571428572, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.21999999999999997, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 56}; 0.0067
2; 253; {'lr': 0.0007171428571428572, 'num_layers': 2, 'dropout': 0.5, 'mask_prob': 0.15, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}; 0.0001
2; 254; {'lr': 8.071428571428574e-05, 'num_layers': 8, 'dropout': 0.07142857142857142, 'mask_prob': 0.32499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0000
2; 255; {'lr': 0.0009292857142857143, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.36, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 56}; 0.0100
2; 256; {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.045, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 512, 'inner_dim': 512}; 0.0003
2; 257; {'lr': 0.0008585714285714286, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.36, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 512}; 0.0004
2; 258; {'lr': 0.00022214285714285717, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.21999999999999997, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.0001
2; 259; {'lr': 0.0007171428571428572, 'num_layers': 1, 'dropout': 0.14285714285714285, 'mask_prob': 0.29, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0008
2; 260; {'lr': 0.0007878571428571429, 'num_layers': 4, 'dropout': 0.5, 'mask_prob': 0.32499999999999996, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}; 0.0047
2; 261; {'lr': 0.00022214285714285717, 'num_layers': 1, 'dropout': 0.46428571428571425, 'mask_prob': 0.32499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 512}; 0.0049
2; 262; {'lr': 8.071428571428574e-05, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.36, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 4096}; 0.0001
2; 263; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.045, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}; 0.9321
2; 264; {'lr': 0.0007878571428571429, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 28}; 0.0069
2; 265; {'lr': 0.0006464285714285715, 'num_layers': 2, 'dropout': 0.17857142857142855, 'mask_prob': 0.07999999999999999, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}; 0.0000
2; 266; {'lr': 0.00022214285714285717, 'num_layers': 2, 'dropout': 0.2857142857142857, 'mask_prob': 0.045, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}; 0.0019
2; 267; {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.07142857142857142, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 512}; 0.3704
2; 268; {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.25, 'mask_prob': 0.045, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0005
2; 269; {'lr': 0.001, 'num_layers': 8, 'dropout': 0.10714285714285714, 'mask_prob': 0.42999999999999994, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0042
2; 270; {'lr': 0.0007171428571428572, 'num_layers': 1, 'dropout': 0.14285714285714285, 'mask_prob': 0.185, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0003
2; 271; {'lr': 0.0009292857142857143, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 56}; 0.0101
2; 272; {'lr': 0.0003635714285714286, 'num_layers': 4, 'dropout': 0.07142857142857142, 'mask_prob': 0.29, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 14}; 0.0062
2; 273; {'lr': 1e-05, 'num_layers': 2, 'dropout': 0.10714285714285714, 'mask_prob': 0.15, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 512}; 0.0003
2; 274; {'lr': 0.0006464285714285715, 'num_layers': 2, 'dropout': 0.25, 'mask_prob': 0.5, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 1024}; 0.0001
2; 275; {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.5, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 14}; 0.0073
2; 276; {'lr': 0.0007878571428571429, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.5, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 32}; 0.0002
2; 277; {'lr': 8.071428571428574e-05, 'num_layers': 8, 'dropout': 0.2857142857142857, 'mask_prob': 0.15, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.0029
2; 278; {'lr': 0.0005757142857142857, 'num_layers': 8, 'dropout': 0.07142857142857142, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 112}; 0.0062
2; 279; {'lr': 0.0004342857142857143, 'num_layers': 4, 'dropout': 0.39285714285714285, 'mask_prob': 0.5, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0001
2; 280; {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.07142857142857142, 'mask_prob': 0.46499999999999997, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 14}; 0.0060
2; 281; {'lr': 0.000505, 'num_layers': 1, 'dropout': 0.2857142857142857, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}; 0.0044
2; 282; {'lr': 0.0006464285714285715, 'num_layers': 2, 'dropout': 0.39285714285714285, 'mask_prob': 0.39499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0002
2; 283; {'lr': 0.0007878571428571429, 'num_layers': 4, 'dropout': 0.2857142857142857, 'mask_prob': 0.15, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 112}; 0.0063
2; 284; {'lr': 0.0009292857142857143, 'num_layers': 1, 'dropout': 0.0, 'mask_prob': 0.07999999999999999, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 512}; 0.0005
2; 285; {'lr': 0.00022214285714285717, 'num_layers': 1, 'dropout': 0.17857142857142855, 'mask_prob': 0.36, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0049
2; 286; {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 1024}; 0.0060
2; 287; {'lr': 0.0002928571428571429, 'num_layers': 2, 'dropout': 0.21428571428571427, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.0002
2; 288; {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.10714285714285714, 'mask_prob': 0.15, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}; 0.0002
2; 289; {'lr': 0.00015142857142857145, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.0005
2; 290; {'lr': 0.0005757142857142857, 'num_layers': 8, 'dropout': 0.39285714285714285, 'mask_prob': 0.42999999999999994, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 2048}; 0.1709
2; 291; {'lr': 0.00015142857142857145, 'num_layers': 2, 'dropout': 0.5, 'mask_prob': 0.185, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 112}; 0.0061
2; 292; {'lr': 0.0009292857142857143, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.36, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.8711
2; 293; {'lr': 0.001, 'num_layers': 1, 'dropout': 0.46428571428571425, 'mask_prob': 0.39499999999999996, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}; 0.0003
2; 294; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.0, 'mask_prob': 0.045, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 14}; 0.0088
2; 295; {'lr': 0.000505, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.01, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}; 0.0322
2; 296; {'lr': 8.071428571428574e-05, 'num_layers': 8, 'dropout': 0.03571428571428571, 'mask_prob': 0.36, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 28}; 0.0102
2; 297; {'lr': 0.0006464285714285715, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.07999999999999999, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 32}; 0.0172
2; 298; {'lr': 0.00015142857142857145, 'num_layers': 8, 'dropout': 0.42857142857142855, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0003
2; 299; {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.36, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 14}; 0.0096
2; 300; {'lr': 0.0006464285714285715, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0178
2; 301; {'lr': 0.00015142857142857145, 'num_layers': 2, 'dropout': 0.10714285714285714, 'mask_prob': 0.07999999999999999, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 2048}; 0.0003
2; 302; {'lr': 0.0005757142857142857, 'num_layers': 4, 'dropout': 0.14285714285714285, 'mask_prob': 0.21999999999999997, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 64}; 0.0077
2; 303; {'lr': 0.00015142857142857145, 'num_layers': 2, 'dropout': 0.25, 'mask_prob': 0.25499999999999995, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}; 0.0065
2; 304; {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.39285714285714285, 'mask_prob': 0.185, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}; 0.0086
2; 305; {'lr': 0.0008585714285714286, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.36, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 28}; 0.0054
2; 306; {'lr': 0.0009292857142857143, 'num_layers': 1, 'dropout': 0.3214285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 512}; 0.0013
2; 307; {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.21428571428571427, 'mask_prob': 0.185, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 4096}; 0.0219
2; 308; {'lr': 0.001, 'num_layers': 4, 'dropout': 0.5, 'mask_prob': 0.01, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0003
2; 309; {'lr': 8.071428571428574e-05, 'num_layers': 8, 'dropout': 0.03571428571428571, 'mask_prob': 0.21999999999999997, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 64}; 0.0001
2; 310; {'lr': 0.00015142857142857145, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 2048}; 0.0048
2; 311; {'lr': 0.0004342857142857143, 'num_layers': 1, 'dropout': 0.0, 'mask_prob': 0.39499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 14}; 0.0063
2; 312; {'lr': 0.00015142857142857145, 'num_layers': 2, 'dropout': 0.3571428571428571, 'mask_prob': 0.29, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}; 0.0065
2; 313; {'lr': 0.00015142857142857145, 'num_layers': 1, 'dropout': 0.3571428571428571, 'mask_prob': 0.46499999999999997, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}; 0.0001
2; 314; {'lr': 0.001, 'num_layers': 8, 'dropout': 0.2857142857142857, 'mask_prob': 0.21999999999999997, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 128}; 0.0073
2; 315; {'lr': 0.000505, 'num_layers': 8, 'dropout': 0.03571428571428571, 'mask_prob': 0.29, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0001
2; 316; {'lr': 0.0007878571428571429, 'num_layers': 4, 'dropout': 0.03571428571428571, 'mask_prob': 0.01, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 2048}; 0.0373
2; 317; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.03571428571428571, 'mask_prob': 0.36, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 32}; 0.0047
2; 318; {'lr': 0.0005757142857142857, 'num_layers': 8, 'dropout': 0.25, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0005
2; 319; {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.21999999999999997, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 1024}; 0.9679
2; 320; {'lr': 0.0008585714285714286, 'num_layers': 1, 'dropout': 0.5, 'mask_prob': 0.5, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 112}; 0.0062
2; 321; {'lr': 0.0003635714285714286, 'num_layers': 4, 'dropout': 0.21428571428571427, 'mask_prob': 0.46499999999999997, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 512, 'inner_dim': 512}; 0.0042
2; 322; {'lr': 0.00015142857142857145, 'num_layers': 1, 'dropout': 0.2857142857142857, 'mask_prob': 0.11499999999999998, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 28}; 0.0082
2; 323; {'lr': 0.0005757142857142857, 'num_layers': 8, 'dropout': 0.2857142857142857, 'mask_prob': 0.045, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}; 0.0005
2; 324; {'lr': 0.0008585714285714286, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.46499999999999997, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 128}; 0.0006
2; 325; {'lr': 0.0008585714285714286, 'num_layers': 4, 'dropout': 0.42857142857142855, 'mask_prob': 0.21999999999999997, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 512}; 3.2574
2; 326; {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.5, 'mask_prob': 0.15, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 256}; 0.0002
2; 327; {'lr': 8.071428571428574e-05, 'num_layers': 8, 'dropout': 0.03571428571428571, 'mask_prob': 0.185, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 14}; 0.0048
2; 328; {'lr': 0.0002928571428571429, 'num_layers': 2, 'dropout': 0.3571428571428571, 'mask_prob': 0.21999999999999997, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 2048}; 0.0002
2; 329; {'lr': 0.00022214285714285717, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 14}; 0.0109
2; 330; {'lr': 0.00015142857142857145, 'num_layers': 1, 'dropout': 0.0, 'mask_prob': 0.32499999999999996, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}; 0.0052
2; 331; {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.46499999999999997, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 1024}; 0.0003
2; 332; {'lr': 0.0008585714285714286, 'num_layers': 1, 'dropout': 0.3214285714285714, 'mask_prob': 0.045, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 128}; 0.0002
2; 333; {'lr': 0.0006464285714285715, 'num_layers': 4, 'dropout': 0.07142857142857142, 'mask_prob': 0.36, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 64}; 0.0002
2; 334; {'lr': 8.071428571428574e-05, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.11499999999999998, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 256}; 0.0005
2; 335; {'lr': 0.0007171428571428572, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.25499999999999995, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 32}; 0.0002
2; 336; {'lr': 0.00022214285714285717, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.46499999999999997, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 512}; 0.0032
2; 337; {'lr': 0.0005757142857142857, 'num_layers': 1, 'dropout': 0.3571428571428571, 'mask_prob': 0.045, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}; 0.0005
2; 338; {'lr': 8.071428571428574e-05, 'num_layers': 8, 'dropout': 0.07142857142857142, 'mask_prob': 0.5, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.0006
2; 339; {'lr': 0.00022214285714285717, 'num_layers': 2, 'dropout': 0.39285714285714285, 'mask_prob': 0.32499999999999996, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.0059
2; 340; {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.10714285714285714, 'mask_prob': 0.46499999999999997, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 112}; 0.0063
2; 341; {'lr': 0.0007171428571428572, 'num_layers': 2, 'dropout': 0.3214285714285714, 'mask_prob': 0.25499999999999995, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 4096}; 0.0088
2; 342; {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.0, 'mask_prob': 0.21999999999999997, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 2048}; 0.0068
2; 343; {'lr': 0.0008585714285714286, 'num_layers': 4, 'dropout': 0.0, 'mask_prob': 0.39499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 128}; 0.0045
2; 344; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.03571428571428571, 'mask_prob': 0.25499999999999995, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 512}; 0.0130
2; 345; {'lr': 0.0003635714285714286, 'num_layers': 2, 'dropout': 0.03571428571428571, 'mask_prob': 0.29, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 32}; 0.0057
2; 346; {'lr': 0.0004342857142857143, 'num_layers': 1, 'dropout': 0.07142857142857142, 'mask_prob': 0.15, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 28}; 0.0063
2; 347; {'lr': 0.0008585714285714286, 'num_layers': 8, 'dropout': 0.3214285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 64}; 0.0002
2; 348; {'lr': 0.0003635714285714286, 'num_layers': 1, 'dropout': 0.14285714285714285, 'mask_prob': 0.15, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 56}; 0.0066
2; 349; {'lr': 1e-05, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.01, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 112}; 0.3078
2; 350; {'lr': 0.00022214285714285717, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.01, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 256}; 0.0017
2; 351; {'lr': 0.0006464285714285715, 'num_layers': 2, 'dropout': 0.07142857142857142, 'mask_prob': 0.29, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}; 0.0057
2; 352; {'lr': 0.0009292857142857143, 'num_layers': 4, 'dropout': 0.3214285714285714, 'mask_prob': 0.42999999999999994, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 128}; 0.0038
2; 353; {'lr': 0.000505, 'num_layers': 4, 'dropout': 0.03571428571428571, 'mask_prob': 0.5, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.0038
2; 354; {'lr': 8.071428571428574e-05, 'num_layers': 4, 'dropout': 0.14285714285714285, 'mask_prob': 0.46499999999999997, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 2048}; 0.0035
2; 355; {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.42857142857142855, 'mask_prob': 0.36, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}; 0.0040
2; 356; {'lr': 0.0008585714285714286, 'num_layers': 8, 'dropout': 0.2857142857142857, 'mask_prob': 0.5, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 64}; 0.0035
2; 357; {'lr': 0.0003635714285714286, 'num_layers': 4, 'dropout': 0.39285714285714285, 'mask_prob': 0.21999999999999997, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 32}; 0.0074
2; 358; {'lr': 0.0007171428571428572, 'num_layers': 8, 'dropout': 0.46428571428571425, 'mask_prob': 0.01, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 256}; 0.0015
2; 359; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.14285714285714285, 'mask_prob': 0.29, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 128}; 0.0056
2; 360; {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.3571428571428571, 'mask_prob': 0.25499999999999995, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 14}; 0.0096
2; 361; {'lr': 0.001, 'num_layers': 4, 'dropout': 0.5, 'mask_prob': 0.39499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 256}; 0.0042
2; 362; {'lr': 0.00022214285714285717, 'num_layers': 1, 'dropout': 0.39285714285714285, 'mask_prob': 0.29, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 2048}; 0.0002
2; 363; {'lr': 0.001, 'num_layers': 4, 'dropout': 0.21428571428571427, 'mask_prob': 0.29, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.9809
